,Name,Address,Age,Type,Area1,Area2,Rooms,FloorNum,Tags,Price
0,青年高樓星光美景青年國宅,台北市萬華區中華路二段,33.8年,大樓,建坪 32.7,主+陽 25.34,2房2廳1.5衛,12樓/12樓,"['有裝潢', '有景觀', '有陽台']","2,180"
1,忠誠精美景觀三房忠誠國宅,台北市士林區中正路,37.2年,大樓,建坪 40.52,主+陽 31.88,3房2廳1衛,11樓/12樓,"['有裝潢', '有景觀', '房間皆有窗']","1,780"
2,榮華管理公園樹海,台北市北投區榮華一路,28.7年,華廈,建坪 37.36,主+陽 32.31,3房2廳2衛,2樓/7樓,"['有裝潢', '有景觀', '前後陽台']","2,800"
3,台大樸園三房車位建軍新城D區,台北市中正區汀州路三段,20.2年,華廈,建坪 46.67,主+陽 23.81,3房2廳2衛,1樓/9樓,"['有裝潢', '有景觀', '前後陽台']","3,980"
4,２４ｈ管理純住樓臨沂馥玉,台北市中正區金山南路一段,6.5年,大樓,建坪 53.56,主+陽 24.45,3房2廳2衛,3樓/12樓,"['廁所開窗', '警衛管理', '具垃圾處理']","4,998"
5,薇閣3房2樓美寓,台北市北投區義方街,40.7年,公寓,建坪 27.05,主+陽 27.04,3房2廳1衛,2樓/5樓,"['有裝潢', '廁所開窗', '近公園']","1,298"
6,內湖捷運黃金３樓北大湖社區,台北市內湖區成功路四段,36.8年,公寓/其它,建坪 37.06,主+陽 34.05,3房2廳2衛,3樓/5樓,"['有裝潢', '前後陽台', '有陽台']","1,650"
7,百萬裝潢高樓旺宅,台北市大同區延平北路四段,6.0年,華廈,建坪 20.1,主+陽 9.85,1房1廳1衛,6樓/7樓,"['有裝潢', '廁所開窗', '警衛管理']","1,380"
8,民生川普大器四房川普,台北市中山區民生東路三段,13.4年,大樓,建坪 116.23,主+陽 53.55,4房2廳4衛1室,2樓/14樓,"['有裝潢', '有陽台', '廁所開窗']","8,990"
9,石牌商城公寓５樓,台北市北投區明德路,40.7年,公寓,建坪 30.1,主+陽 30.1,3房2廳1衛,5樓/5樓,"['有裝潢', '有景觀', '有陽台']","1,598"
10,興安林蔭電梯三房興安國宅北5棟~...,台北市中山區復興北路,34.8年,大樓,建坪 39.72,主+陽 29.58,3房2廳2衛,3樓/13樓,"['有裝潢', '有景觀', '前後陽台']","2,978"
11,３米６舒適邊間,台北市中正區南昌路二段,0.2年,大樓,建坪 17.23,主+陽 10.71,1房1廳1衛,6樓/14樓,"['有陽台', '廁所開窗', '房間皆有窗']","1,591"
12,啟昇建設采采靚心,台北市文山區興順街,預售,華廈,建坪 35.87,主+附 23.17,3房2廳2衛,3樓/7樓,"['有陽台', '廁所開窗', '房間皆有窗']","2,469"
13,百巷雙敦邊間參房,台北市松山區敦化南路一段,39.6年,公寓,建坪 29,主+陽 25.73,3房2廳2衛,5樓/5樓,"['有裝潢', '近公園', '近市場']","2,580"
14,雅比斯典雅美邸雅比斯,台北市文山區興隆路一段,8.9年,華廈,建坪 95.75,主+陽 45.62,3房2廳3衛1室,7樓/9樓,"['有裝潢', '有景觀', '前後陽台']","6,388"
15,稀有漢宮前棟景觀漢宮大廈,台北市大安區忠孝東路四段,45.3年,大樓/辦公,建坪 21.22,主+陽 16.58,2房2廳1衛,7樓/12樓,"['有裝潢', '有景觀', '房間皆有窗']","2,568"
16,君品面山景11樓碧湖君品,台北市內湖區內湖路二段,4.6年,大樓,建坪 36.47,主+陽 18.08,2房2廳2衛,11樓/13樓,"['有裝潢', '有景觀', '有陽台']","2,988"
17,金華官邸寶鋪九野寶鋪九野,台北市大安區金華街,7.9年,大樓,建坪 101.64,主+陽 43.63,3房2廳3衛2室,3樓/11樓,"['毛胚屋', '有景觀', '前後陽台']","11,000"
18,東園名邸捷運三房東園名邸,台北市萬華區長泰街,9.1年,大樓,建坪 82.55,主+陽 36.12,3房2廳2衛,3樓/12樓,"['有裝潢', '有陽台', '廁所開窗']","4,860"
19,文德美妝兩房車位樹語人,台北市內湖區文德路,3.8年,華廈,建坪 28.61,主+陽 16.14,2房2廳1衛,2樓/7樓,"['有裝潢', '有景觀', '前後陽台']","2,758"
20,榮耀世紀高樓四房榮耀世紀,台北市內湖區星雲街,16.0年,大樓,建坪 74.55,主+陽 38.76,4房2廳3衛,9樓/14樓,"['前後陽台', '有陽台', '廁所開窗']","5,680"
21,【推薦】市府豪居,台北市信義區永吉路,9.4年,華廈,建坪 54.69,主+陽 25.82,3房2廳2衛,3樓/8樓,"['有裝潢', '有陽台', '廁所開窗']","3,850"
22,首里美裝３房車位首里,台北市士林區福港街,6.9年,華廈,建坪 56.28,主+陽 27.06,3房2廳2衛1室,2樓/7樓,"['有裝潢', '前後陽台', '有陽台']","2,980"
23,大安靜巷四房美廈,台北市大安區羅斯福路四段,34.0年,華廈,建坪 50.78,主+陽 42.8,4房2廳2衛,6樓/7樓,"['有裝潢', '前後陽台', '有陽台']","3,580"
24,近捷運低總價美寓,台北市士林區德行東路,44.0年,公寓,建坪 19.22,主+陽 19.22,2房2廳1衛,4樓/4樓,"['有裝潢', '有景觀', '有陽台']","1,388"
25,太平洋真園豪邸真園,台北市士林區德行東路,17.7年,大樓,建坪 73.76,主+陽 46.16,3房2廳2衛,1樓/14樓,"['有裝潢', '前後陽台', '有陽台']","6,200"
26,峨眉採光通風戶,台北市萬華區峨眉街,44.2年,華廈/辦公,建坪 16.34,主+陽 12.59,1房1廳1衛,3樓/9樓,"['有景觀', '房間皆有窗', '警衛管理']",888
27,雙捷面寬邊間二樓,台北市大同區昌吉街,46.3年,公寓,建坪 31.44,主+陽 --,3房2廳2衛1室,2樓/4樓,"['有裝潢', '有陽台', '廁所開窗']","2,380"
